"","team_a_pts","team_b_pts","QB_a_pts","QB_b_pts","totalpts","total_QB_pts","a_minus_b","QBa_minus_b"
"oak-tam",167.52,84.4,39.82,18.8,251.92,58.62,83.12,21.02
"atl-gnb",115.32,116.24,24.42,33.84,231.56,58.26,-0.919999999999987,-9.42
"buf-nwe",88.62,127.3,21.52,33,215.92,54.52,-38.68,-11.48
"jac-ten",114.98,118.6,32.68,20.5,233.58,53.18,-3.61999999999999,12.18
"dal-phi",107.88,87.98,28.28,11.78,195.86,40.06,19.9,16.5
"cin-was",116.96,150.12,21.46,28.22,267.08,49.68,-33.16,-6.76
"ari-car",122.22,87.78,27.52,12.78,210,40.3,34.44,14.74
"cle-nyj",117.1,97.02,25.8,14.42,214.12,40.22,20.08,11.38
"nor-sea",98.4,86.84,20.7,10.22,185.24,30.92,11.56,10.48
"ind-kan",78.9,126.8,20.4,26.8,205.7,47.2,-47.9,-6.4
"den-sdg",95.34,102.68,8.84,15.68,198.02,24.52,-7.34,-6.84
"chi-min",99.08,72.62,14.28,13.12,171.7,27.4,26.46,1.16
"det-hou",82.4,76.54,13.6,10.14,158.94,23.74,5.86,3.46
