"Week","Year","GID","Name","Pos","Team","h.a","Oppt","DK.points","DK.salary"
8,2016,2907,"Riddick, Theo","RB","det","a","hou",27.3,5000
8,2016,2612,"Stewart, Jonathan","RB","car","h","ari",24,4900
8,2016,2613,"Forte, Matt","RB","nyj","a","cle",23.8,6400
8,2016,2991,"Gordon, Melvin","RB","sdg","a","den",22.5,5700
8,2016,2930,"Freeman, Devonta","RB","atl","h","gnb",21.8,6500
8,2016,5376,"Cooper, Amari","WR","oak","a","tam",38.3,7600
8,2016,5409,"Nelson, J.J.","WR","ari","a","car",27.9,3000
8,2016,3891,"Bryant, Dez","WR","dal","h","phi",24.3,7100
8,2016,4582,"Kelce, Travis","TE","kan","a","ind",26.1,4900
8,2016,4494,"Gronkowski, Rob","TE","nwe","a","buf",24.9,7000
8,2016,1441,"Carr, Derek","QB","oak","a","tam",39.82,5900
8,2016,1252,"Rodgers, Aaron","QB","gnb","a","atl",33.84,7500
8,2016,1131,"Brady, Tom","QB","nwe","a","buf",33.1,7600
8,2016,1501,"Prescott, Dak","QB","dal","h","phi",28.28,5800
8,2016,1207,"Palmer, Carson","QB","ari","a","car",27.52,6000
8,2016,1175,"McCown, Josh","QB","cle","h","nyj",25.64,5200
8,2016,1301,"Ryan, Matt","QB","atl","h","gnb",24.42,7000
8,2016,7010,"Denver Defense","Def","den","h","sdg",22,3700
8,2016,7005,"Carolina Defense","Def","car","h","ari",19,2900
8,2016,7026,"San Diego Defense","Def","sdg","a","den",13,2400
