"X","Week","Year","GID","Name","Pos","Team","h.a","Oppt","DK.points","DK.salary"
145,1,2016,5255,"Cooks, Brandin","WR","nor","h","oak",36.4,7700
2,1,2016,1151,"Brees, Drew","QB","nor","h","oak",35.42,8100
147,1,2016,5287,"Snead, Willie","WR","nor","h","oak",35.2,4800
186,1,2016,5459,"Thomas, Michael","WR","nor","h","oak",11.8,4000
62,1,2016,2793,"Ingram, Mark","RB","nor","h","oak",10.7,6600
64,1,2016,2869,"Cadet, Travaris","RB","nor","h","oak",10.5,3000
103,1,2016,2604,"Hightower, Tim","RB","nor","h","oak",2,4300
328,1,2016,4552,"Fleener, Coby","TE","nor","h","oak",1.6,4900
115,1,2016,2549,"Kuhn, John","RB","nor","h","oak",0.4,0
131,1,2016,5396,"Murphy, Marcus","RB","nor","h","oak",0,3000
273,1,2016,5326,"Coleman, Brandon","WR","nor","h","oak",0,3000
359,1,2016,4586,"Hill, Josh","TE","nor","h","oak",0,2500
398,1,2016,7019,"New Orleans Defense","Def","nor","h","oak",-4,2300
578,2,2016,5287,"Snead, Willie","WR","nor","a","nyg",16.4,5800
421,2,2016,1151,"Brees, Drew","QB","nor","a","nyg",14.52,8200
591,2,2016,5255,"Cooks, Brandin","WR","nor","a","nyg",13.8,8000
607,2,2016,5459,"Thomas, Michael","WR","nor","a","nyg",9.6,4000
805,2,2016,7019,"New Orleans Defense","Def","nor","a","nyg",9,2300
471,2,2016,2793,"Ingram, Mark","RB","nor","a","nyg",8.7,6200
744,2,2016,4552,"Fleener, Coby","TE","nor","a","nyg",4.9,3900
498,2,2016,2869,"Cadet, Travaris","RB","nor","a","nyg",3.7,3000
650,2,2016,5326,"Coleman, Brandon","WR","nor","a","nyg",3.5,3000
504,2,2016,2549,"Kuhn, John","RB","nor","a","nyg",3,3000
527,2,2016,2604,"Hightower, Tim","RB","nor","a","nyg",0.9,3800
678,2,2016,5496,"Lewis, Tommylee","WR","nor","a","nyg",0.9,3000
538,2,2016,5487,"Lasco, Daniel","RB","nor","a","nyg",0,3000
830,3,2016,1151,"Brees, Drew","QB","nor","h","atl",29.94,7900
1134,3,2016,4552,"Fleener, Coby","TE","nor","h","atl",26.9,3300
872,3,2016,2793,"Ingram, Mark","RB","nor","h","atl",22.7,5900
995,3,2016,5459,"Thomas, Michael","WR","nor","h","atl",20.1,4200
1000,3,2016,5326,"Coleman, Brandon","WR","nor","h","atl",14.8,3000
894,3,2016,2869,"Cadet, Travaris","RB","nor","h","atl",9.2,3100
1036,3,2016,5496,"Lewis, Tommylee","WR","nor","h","atl",7.4,3000
908,3,2016,2549,"Kuhn, John","RB","nor","h","atl",6.3,3000
1067,3,2016,5255,"Cooks, Brandin","WR","nor","h","atl",3.9,7900
933,3,2016,2604,"Hightower, Tim","RB","nor","h","atl",1.9,3300
955,3,2016,5396,"Murphy, Marcus","RB","nor","h","atl",0,3000
956,3,2016,5487,"Lasco, Daniel","RB","nor","h","atl",0,3000
1248,3,2016,7019,"New Orleans Defense","Def","nor","h","atl",-2,2200
1291,4,2016,2793,"Ingram, Mark","RB","nor","a","sdg",22.5,5900
1292,4,2016,2549,"Kuhn, John","RB","nor","a","sdg",21.2,3000
1411,4,2016,5459,"Thomas, Michael","WR","nor","a","sdg",14.4,3800
1268,4,2016,1151,"Brees, Drew","QB","nor","a","sdg",13.88,7600
1624,4,2016,7019,"New Orleans Defense","Def","nor","a","sdg",8,2000
1460,4,2016,5255,"Cooks, Brandin","WR","nor","a","sdg",6.1,7400
1555,4,2016,4552,"Fleener, Coby","TE","nor","a","sdg",4.9,3200
1474,4,2016,5326,"Coleman, Brandon","WR","nor","a","sdg",3.7,3000
1479,4,2016,5287,"Snead, Willie","WR","nor","a","sdg",3.3,6600
1343,4,2016,5487,"Lasco, Daniel","RB","nor","a","sdg",2.9,3000
1486,4,2016,5496,"Lewis, Tommylee","WR","nor","a","sdg",2.3,3000
1358,4,2016,2604,"Hightower, Tim","RB","nor","a","sdg",1.1,3300
1370,4,2016,2869,"Cadet, Travaris","RB","nor","a","sdg",0,3100
2001,6,2016,1151,"Brees, Drew","QB","nor","h","car",36.6,7900
2149,6,2016,5255,"Cooks, Brandin","WR","nor","h","car",33.5,7600
2295,6,2016,4552,"Fleener, Coby","TE","nor","h","car",25.6,3500
2158,6,2016,5459,"Thomas, Michael","WR","nor","h","car",18.8,4300
2306,6,2016,4586,"Hill, Josh","TE","nor","h","car",10.3,2500
2204,6,2016,5287,"Snead, Willie","WR","nor","h","car",8.7,6400
2068,6,2016,2793,"Ingram, Mark","RB","nor","h","car",8,6000
2072,6,2016,2869,"Cadet, Travaris","RB","nor","h","car",7,3000
