"X","Week","Year","GID","Name","Pos","Team","h.a","Oppt","DK.points","DK.salary"
8,1,2016,1441,"Carr, Derek","QB","oak","a","nor",25.36,7300
150,1,2016,5376,"Cooper, Amari","WR","oak","a","nor",24.7,7200
162,1,2016,3872,"Crabtree, Michael","WR","oak","a","nor",17.7,5500
47,1,2016,5490,"Richard, Jalen","RB","oak","a","nor",17.5,3000
54,1,2016,2899,"Murray, Latavius","RB","oak","a","nor",14.2,5600
197,1,2016,5408,"Roberts, Seth","WR","oak","a","nor",9.9,3800
80,1,2016,2913,"Olawale, Jamize","RB","oak","a","nor",6.2,3000
308,1,2016,4651,"Walford, Clive","TE","oak","a","nor",5.5,3000
93,1,2016,5449,"Washington, DeAndre","RB","oak","a","nor",3.4,3700
95,1,2016,2820,"Jones, Taiwan","RB","oak","a","nor",2.9,3000
388,1,2016,7022,"Oakland Defense","Def","oak","a","nor",2,2400
271,1,2016,5177,"Holmes, Andre","WR","oak","a","nor",0,3200
349,1,2016,4535,"Smith, Lee","TE","oak","a","nor",0,2500
565,2,2016,5456,"Shepard, Sterling","WR","nyg","h","nor",22.7,5200
577,2,2016,5323,"Beckham Jr., Odell","WR","nyg","h","nor",16.6,9500
420,2,2016,1225,"Manning, Eli","QB","nyg","h","nor",16.32,7600
799,2,2016,7020,"New York G Defense","Def","nyg","h","nor",14,2600
601,2,2016,3900,"Cruz, Victor","WR","nyg","h","nor",12.1,4300
472,2,2016,2830,"Vereen, Shane","RB","nyg","h","nor",8.6,3800
741,2,2016,4585,"Donnell, Larry","TE","nyg","h","nor",6.4,2900
486,2,2016,2658,"Jennings, Rashad","RB","nyg","h","nor",6,5600
754,2,2016,4670,"Tye, Will","TE","nyg","h","nor",3,2900
523,2,2016,2976,"Darkwa, Orleans","RB","nyg","h","nor",1.2,3000
700,2,2016,5273,"King, Tavarres","WR","nyg","h","nor",0,3000
708,2,2016,5130,"Harris, Dwayne","WR","nyg","h","nor",0,3300
862,3,2016,2930,"Freeman, Devonta","RB","atl","a","nor",34.7,5800
863,3,2016,2994,"Coleman, Tevin","RB","atl","a","nor",29.9,4500
836,3,2016,1301,"Ryan, Matt","QB","atl","a","nor",19.9,7400
1227,3,2016,7002,"Atlanta Defense","Def","atl","a","nor",11,2000
1017,3,2016,5387,"Hardy, Justin","WR","atl","a","nor",10.6,3000
1047,3,2016,5159,"Sanu, Mohamed","WR","atl","a","nor",6.1,5700
1153,3,2016,4411,"Tamme, Jacob","TE","atl","a","nor",5.8,3200
1054,3,2016,5361,"Gabriel, Taylor","WR","atl","a","nor",5.3,3000
